abandon,freedom from artificial constraint
sauce,a composition of condiments and appetizing ingredients eaten with food as a relish
savage,"a man of extreme , unfeeling , brutal cruelty"
saw,a saying
saying,an aphorism
scaffold,"specifically , a stage or elevated platform for the execution of a criminal"
scale,the dish of a balance
scandal,reproachful aspersion
scar,"a steep , rocky eminence"
scare,fright
scarf,"an article of dress of a light and decorative character , worn loosely over the shoulders or about the neck or the waist"
scarlet,a vivid or bright red color
scattering,something scattered
scene,"a separate portion of a play , subordinate to the act , but differently determined in different plays"
scenery,assemblage of scenes
scent,course of pursuit
schedule,a formal list or inventory
scheme,a project
scholar,a learner
school,a place for acquiring knowledge and mental training
schooner,"a large goblet or drinking glass , -- used for lager beer or ale"
science,"comprehensive , profound , or philosophical knowledge"
scope,the thing or end to which the mind directs its view
score,a notch or incision
scorn,"an object of extreme disdain , contempt , or derision"
scotch,the dialect or dialects of english spoken by the people of scotland
scoundrel,a man without honor or virtue
scourge,a punishment
scout,one employed in war to gain information of the movements and condition of an enemy
scrap,a bit
scrape,a difficulty
scratch,"a break in the surface of a thing made by scratching , or by rubbing with anything pointed or rough"
scream,"a sharp , shrill cry , uttered suddenly , as in terror or in pain"
screen,a shield or protection
screw,a form of wheel for propelling steam vessels
scripture,a text
scrub,a worn - out brush
scruple,hesitation as to action from the difficulty of determining what is right or expedient
scrutiny,close examination
sculpture,"carved work modeled of , or cut upon , wood , stone , metal , etc"
sea,"an inland body of water , especially if large or if salt or brackish"
seal,"an engraved or inscribed stamp , used for marking an impression in wax or other soft substance , to be attached to a document , or otherwise used by way of authentication or security"
seaman,a sailor
search,inquiry
season,a time
seat,that part of a thing on which a person sits
second,a coarse or inferior kind of flour
secondary,one who is second or next to the chief officer
secrecy,the state or quality of being hidden
secretary,"a piece of furniture , with conveniences for writing and for the arrangement of papers"
secret,a thing not discovered
sect,a company or set having a common belief or allegiance distinct from others
section,"the act of cutting , or separation by cutting"
secular,"a layman , as distinguished from a clergyman"
security,negligence
seed,the generative fluid of the male
seeming,appearance
seizing,the cord or lashing used for such fastening
selection,that which is selected
selfishness,"that supreme self - love or self - preference which leads a person to direct his purposes to the advancement of his own interest , power , or happiness , without regarding those of others"
sell,a hoax
semblance,figure
senate,"in general , a legislative body"
senator,a member of a senate
send,the impulse of a wave by which a vessel is carried bodily
senior,a person who is older than another
sensation,agreeable or disagreeable feelings occasioned by objects that are not corporeal or material
sense,recognition
sensibility,experience of sensation
sensible,anything perceptible
sentence,"in civil and admiralty law , the judgment of a court pronounced in a cause"
sentiment,thought
sentinel,a sentry
sentry,a sentinel
separation,chemical analysis
sequel,effect
sequence,result
serene,clearness
serenity,stillness
sergeant,"in a company , battery , or troop , a noncommissioned officer next in rank above a corporal , whose duty is to instruct recruits in discipline , to form the ranks , etc"
series,der
sermon,a serious address
serpent,"a snake , especially a large snake"
servant,"a person who labors or exerts himself for the benefit of another , his master or employer"
service,duty done or required
servitude,the condition of being bound to service
session,"the actual sitting of a court , council , legislature , etc"
set,the close
setting,"the act of marking the position of game , as a setter does"
settle,a place made lower than the rest
settlement,"establishment in life , in business , condition , etc"
settling,lees
seventeen,the sum of ten and seven
seventeenth,the next in order after the sixteenth
seven,the number greater by one than six
seventh,one coming after six others
seventy,the sum of seven times ten
severity,extremity
sewing,that which is sewed with the needle
sex,the capability in plants of fertilizing or of being fertilized
shade,a secluded retreat
shadow,a shaded place
shaft,the stem or midrib of a feather
shake,a fissure in rock or earth
shallow,a place in a body of water where the water is not deep
sham,delusion
shame,"a painful sensation excited by a consciousness of guilt or impropriety , or of having done something which injures reputation , or of the exposure of that which nature or modesty prompts us to conceal"
shape,a figure
share,a dividend
sharp,a sewing needle having a very slender point
shed,an outbuilding
sheer,a turn or change in a course
sheet,"in general , a large , broad piece of anything thin , as paper , cloth , etc"
shelf,"a flat , projecting layer of rock"
shell,"the covering , or outside part , of a nut"
shelter,security
shepherd,"a man employed in tending , feeding , and guarding sheep , especially a flock grazing at large"
shield,protection
shift,the change of one set of workmen for another
shilling,"in the united states , a denomination of money , differing in value in different states"
shine,the quality or state of shining
shining,emission or reflection of light
ship,any large seagoing vessel
shipping,"the collective body of ships in one place , or belonging to one port , country , etc"
shirt,"a loose under - garment for the upper part of the body , made of cotton , linen , or other material"
shiver,a variety of blue slate
shock,a lot consisting of sixty pieces
shoe,"a covering for the human foot , usually made of leather , having a thick and somewhat stiff sole and a lighter top"
shook,"the parts of a piece of house furniture , as a bedstead , packed together"
shoot,a narrow passage either natural or artificial in a stream where the water rushes rapidly
shooting,"specifically sporting , the killing of game"
shop,"a person ' s occupation , business , profession , or the like , as a subject of attention , interest , conversation , etc"
shore,"a prop placed beneath anything , as a beam , to prevent it from sinking or sagging"
short,a summary account
shot,"a missile weapon , particularly a ball or bullet"
shoulder,the upper part of the back
shout,a loud burst of voice or voices
shower,"sometimes , but rarely , a like fall of snow"
showing,presentation of facts
show,proud or ostentatious display
shriek,"a shrill wild cry such as is caused by sudden or extreme terror , pain , or the like"
shrine,a place or object hallowed from its history or associations
shrink,shrinkage
shrug,"a gesture consisting of drawing up the shoulders , -- a motion usually expressing doubt , indifference , or dislike"
shudder,"the act of shuddering , as with fear"
shut,the line or place where two pieces of metal are united by welding
shy,a fling
sickness,nausea
side,"any outer portion of a thing considered apart from , and yet in relation to , the rest"
sidewalk,a foot pavement
siege,the floor of a glass - furnace
sigh,"figuratively , a manifestation of grief"
sight,"the faculty of vision , or of perceiving objects by the instrumentality of the eyes"
signal,a sign event or watchword which has been agreed upon as the occasion of concerted action
sign,an indication
signature,an outward mark by which internal characteristics were supposed to be indicated
significance,import
significant,a symbol
silence,"forbearance from , or absence of , speech"
silk,thread spun or cloth woven from the above - named material
silver,"a soft white metallic element , sonorous , ductile , very malleable , and capable of a high degree of polish"
similarity,likeness
simple,something not mixed or compounded
simplicity,freedom from cunning or duplicity
sincerity,honesty of mind or intention
singer,one whose profession is to sing
single,a unit
sink,"a shallow box or vessel of wood , stone , iron , or other material , connected with a drain , and used for receiving filthy water , etc"
sinner,a persistent and incorrigible transgressor
sin,transgression of the law of god
sir,"a respectful title , used in addressing a man , without being prefixed to his name"
sire,the head of a family
sister,"one of the same kind , or of the same condition"
site,a place fitted or chosen for any certain permanent use or occupation
sitting,the posture of one who occupies a seat
situation,relative position
sixteen,the number greater by a unit than fifteen
sixteenth,the quotient of a unit divided by sixteen
six,the sum of three and three
sixth,the interval embracing six diatonic degrees of the scale
sixty,the sum of six times ten
size,extent of superficies or volume
skeleton,a very thin or lean person
sketch,a first rough or incomplete draught or plan of any design
skill,power to discern and execute
skin,that of a small animal as a calf sheep or goat
skipper,the saury
skirt,"the lower and loose part of a coat , dress , or other like garment"
skull,the seat of intelligence
sky,the heavens
slate,"a thin , flat piece , for roofing or covering houses , etc"
slaughter,carnage
slave,a person who is held in bondage to another
slavery,a condition of subjection or submission characterized by lack of freedom of action or of will
sledge,"a large , heavy hammer , usually wielded with both hands"
sleep,"a natural and healthy , but temporary and periodical , suspension of the functions of the organs of sense , as well as of those of the voluntary and rational soul"
sleeve,the part of a garment which covers the arm
slice,"a salver , platter , or tray"
slide,"smooth , even passage or progress"
slight,"the manifestation of a moderate degree of contempt , as by neglect or oversight"
slip,a false step
slope,"the part of a continent descending toward , and draining to , a particular ocean"
slumber,sleep that is not deep or sound
small,same as little go
smart,a dandy
smell,"the quality of any thing or substance , or emanation therefrom , which affects the olfactory organs"
smile,"a somewhat similar expression of countenance , indicative of satisfaction combined with malevolent feelings , as contempt , scorn , etc"
smite,a blow
smith,one who forges with the hammer
smoke,"the visible exhalation , vapor , or substance that escapes , or expelled , from a burning body , especially from burning vegetable matter , as wood , coal , peat , or the like"
smooth,a stroke which smooths
snake,"a serpent , whether harmless or venomous"
snap,a sudden breaking or rupture of any substance
snare,"a contrivance , often consisting of a noose of cord , or the like , by which a bird or other animal may be entangled and caught"
snatch,"a small piece , fragment , or quantity"
sneer,the act of sneering
snow,"watery particles congealed into white or transparent crystals or flakes in the air , and falling to the earth , exhibiting a great variety of very beautiful and perfect forms"
snuff,a sniff
snug,same as lug n
soap,"a substance which dissolves in water , thus forming a lather , and is used as a cleansing agent"
sob,"a convulsive sigh , or inspiration of the breath , as in sorrow"
society,a number of persons associated for any temporary or permanent object
soda,"popularly , sodium carbonate or bicarbonate"
sofa,"a long seat , usually with a cushioned bottom , back , and ends"
soft,an idiot
softness,the quality or state of being soft
soil,a soiled place
sojourn,"a temporary residence , as that of a traveler in a foreign land"
solace,relief
soldier,a brave warrior
solemnity,a rite or ceremony performed with religious reverence
sole,the bottom of a furrow
solicitation,excitement
solicitude,uneasiness of mind occasioned by fear of evil or desire good
solid,"a magnitude which has length , breadth , and thickness"
solitary,"one who lives alone , or in solitude"
solitude,"state of being alone , or withdrawn from society"
sol,the tone itself
solution,"the act of solving , or the state of being solved"
son,"a male descendant , however distant"
song,"that which is sung or uttered with musical modulations of the voice , whether of a human being or of a bird , insect , etc"
sooner,"in the western united states , one who settles on government land before it is legally open to settlement in order to gain the prior claim that the law gives to the first settler when the land is opened to settlement"
sore,"a place in an animal body where the skin and flesh are ruptured or bruised , so as to be tender or painful"
sorrow,unhappiness
sort,a kind or species
soul,"the spiritual , rational , and immortal part in man"
sounding,the depth so ascertained
sound,noise
soup,"a liquid food of many kinds , usually made by boiling meat and vegetables , or either of them , in water , -- commonly seasoned or flavored"
source,a spring
sour,whatever produces a painful effect
south,the southern section of a country
sovereign,"the person , body , or state in which independent and supreme authority is vested"
sovereignty,a sovereign state
sow,"the female of swine , or of the hog kind"
space,"extension , considered independently of anything which it may contain"
spade,"an implement for digging or cutting the ground , consisting usually of an oblong and nearly rectangular blade of iron , with a handle like that of a shovel"
span,eighth of a fathom
spare,that which has not been used or expended
spark,a lover
sparkle,luster
speaker,one who utters or pronounces a discourse
speaking,public declamation
spear,a lance
specimen,a sample
speck,a stain
spectacle,a remarkable or noteworthy sight
spectator,"one who is personally present at , and sees , any exhibition"
speculation,intellectual examination
speech,a dialect
speed,prosperity in an undertaking
spelling,formation of words by letters
spell,the relief of one person by another in any piece of work or watching
sphere,"a body or space contained under a single surface , which in every part is equally distant from a point within called its center"
spider,"an iron pan with a long handle , used as a kitchen utensil in frying food"
spin,the act of spinning
spirit,an intelligence conceived of apart from any physical organization or embodiment
spit,"a small point of land running into the sea , or a long , narrow shoal extending from the shore into the sea"
spite,grudge
splash,a noise made by striking upon or in a liquid
splendor,brilliancy
split,"a breach or separation , as in a political party"
spoil,that which is taken from another by violence
spoke,the radius or ray of a wheel
sponge,a pertinacious and indolent dependent
spoon,"an implement consisting of a small bowl ( usually a shallow oval ) with a handle , used especially in preparing or eating food"
sport,"that with which one plays , or which is driven about in play"
spot,reproach
spouse,a man or woman engaged or joined in wedlock
spray,a small shoot or branch
spread,a cloth used as a cover for a table or a bed
spring,a jump
spur,an incitement
spy,"a person sent secretly into an enemy ' s camp , territory , or fortifications , to inspect his works , ascertain his strength , movements , or designs , and to communicate such intelligence to the proper officer"
squadron,"a detachment of vessels employed on any particular service or station , under the command of the senior officer"
square,a parallelogram having four equal sides and four right angles
squeeze,compression between bodies
squire,", a devoted attendant or follower of a lady"
squirrel,one of the small rollers of a carding machine which work with the large cylinder
stability,"the quality opposite to fickleness irresolution , or inconstancy"
stable,"a house , shed , or building , for beasts to lodge and feed in"
staff,the long handle of an instrument or weapon
stage,"a platform , often floating , serving as a kind of wharf"
stain,reproach
stair,"a series of steps , as for passing from one story of a house to another"
stairway,a flight of stairs or steps
stake,"a stick inserted upright in a loop , eye , or mortise , at the side or end of a cart , a flat car , or the like , to prevent goods from falling off"
stale,the stock or handle of anything
stalk,"the petiole , pedicel , or peduncle , of a plant"
stall,a stand
stamp,"any instrument for making impressions on other bodies , as a die"
stand,"a halt or stop for the purpose of defense , resistance , or opposition"
standard,"that which is established by authority as a rule for the measure of quantity , extent , value , or quality"
standing,place to stand in
standpoint,"a position from which objects or principles are viewed , and according to which they are compared and judged"
stanza,a room or chamber
stare,a fixed look with eyes wide open
start,"a convulsive motion , twitch , or spasm"
star,the polestar
statement,a narrative
statesman,one eminent for political abilities
state,the circumstances or condition of a being or thing at any given time
station,"the place at which an instrument is planted , or observations are made , as in surveying"
statistics,"the science which has to do with the collection , classification , and analysis of facts of a numerical nature regarding any topic"
statue,an image
stature,the natural height of an animal body
status,state
statute,the written will of the legislature expressed with all the requisite forms of legislation
stay,sojourn
stead,"place or room which another had , has , or might have"
stealing,theft
steamer,a vessel propelled by steam
steam,the mist formed by condensed vapor
steel,"a weapon , as a sword , dagger , etc"
steep,a fertilizing liquid to hasten the germination of seeds
steer,a common ox
stem,a race or generation of progenitors
step,an advance or movement made by one removal of the foot
sterling,coined money
stern,the black tern
steward,"a man employed in a large family , or on a large estate , to manage the domestic concerns , supervise other servants , collect the rents or income , keep accounts , and the like"
stick,a rod
stillness,inactivity
still,silence
stimulus,something that rouses the mind or spirits
sting,"anything that gives acute pain , bodily or mental"
stir,agitation of thoughts
stock,something fixed and solid
stomach,desire
stone,concreted earthy or mineral matter
stool,a discharge from the bowels
stoop,condescension
stop,interruption
stopping,a pad or poultice of dung or other material applied to a horse ' s hoof to keep it moist
store,a warehouse
storm,tumult
story,a history
stout,a popular variety sold in the u
stove,"an apparatus , consisting essentially of a receptacle for fuel , made of iron , brick , stone , or tiles , and variously constructed , in which fire is made or kept for warming a room or a house , or for culinary or other purposes"
straight,a hand of five cards in consecutive order as to value
strain,"hereditary character , quality , or disposition"
strait,a narrow pass or passage
strand,"rarely , the margin of a navigable river"
stranger,one who is unknown or unacquainted
straw,anything proverbially worthless
stray,"any domestic animal that has an inclosure , or its proper place and company , and wanders at large , or is lost"
streak,"the fine powder or mark yielded by a mineral when scratched or rubbed against a harder surface , the color of which is sometimes a distinguishing character"
stream,"specifically , any course of running water"
street,"iginally , a paved way road"
strength,"capacity for exertion or endurance , whether physical , intellectual , or moral"
stress,"pressure , strain"
stretch,reach
stride,a long step
strife,"contest of emulation , either by intellectual or physical efforts"
strike,"an instrument with a straight edge for leveling a measure of grain , salt , and the like , scraping off what is above the level of the top"
string,a thread or cord on which a number of objects or parts are strung or arranged in close and orderly succession
strip,"a narrow piece , or one comparatively long"
stroke,a blow
stroll,an idle and leisurely walk
structure,"arrangement of parts , of organs , or of constituent particles , in a substance or body"
student,a learner
studio,the working room of an artist
study,mental occupation
stuff,elemental part
stump,a stub
stupidity,sluggishness
sturdy,"a disease in sheep and cattle , marked by great nervousness , or by dullness and stupor"
style,a graver
sub,a shortened form of submarine sandwich
subject,"that which is subjected , or submitted to , any physical operation or process"
sublime,a style that expresses lofty conceptions
submarine,a ship that can travel under the surface of the water
submission,meekness
subordinate,one who stands in order or rank below another
subscription,a paper to which a signature is attached
subsistence,existence
substance,real or existing essence
substitute,one who acts for another
succeeding,consequence
succession,lineage
successor,one who succeeds or follows
success,the outcome of effort
sudden,a surprise
suffering,"distress , loss , or injury incurred"
suffrage,assent
sugar,honeyed or soothing words
suggestion,an intimation
suicide,the act of taking one ' s own life voluntary and intentionally
suite,"a retinue or company of attendants , as of a distinguished personage"
suit,legal application to a court for justice
sultan,"specifically , the ruler of the turks"
summary,a general or comprehensive statement
summer,one who casts up an account
summit,the top
summons,the act of summoning
sum,the principal points or thoughts when viewed together
sunlight,the light of the sun
sunrise,the east
sunset,the time when the sun sets
sunshine,warmth
sun,"the luminous orb , the light of which constitutes day , and its absence night"
sup,"a small mouthful , as of liquor or broth"
superintendent,"one who has the oversight and charge of some place , institution , or organization , affairs , etc"
superior,one who surpasses in what is desirable
superstition,religious veneration for objects
supervision,superintendence
supper,a meal taken at the close of the day
supplement,"the quantity by which an arc or an angle falls short of 180 degrees , or an arc falls short of a semicircle"
supply,"the food , and the like , which meets the daily necessities of an army or other large body of men"
support,subsistence
supposition,opinion or belief without sufficient evidence
suppression,complete stoppage of a natural secretion or excretion
supremacy,"the state of being supreme , or in the highest station of power"
surface,"one of the limits that bound a solid , especially the upper face"
surf,"the swell of the sea which breaks upon the shore , especially upon a sloping beach"
surgeon,one whose profession or occupation is to cure diseases or injuries of the body by manual operation
surplus,excess
surprise,"the state of being surprised , or taken unawares , by some act or event which could not reasonably be foreseen"
surrender,the giving up of a principal into lawful custody by his bail
surround,"a method of hunting some animals , as the buffalo , by surrounding a herd , and driving them over a precipice , into a ravine , etc"
surrounding,the things which surround or environ
survey,a particular view
surveying,the act or occupation of making surveys
suspect,an object of suspicion
suspense,"suspension , as when the rent or other profits of land cease by unity of possession of land and rent"
suspicion,suggestion
swallow,inclination
swamp,"wet , spongy land"
swarm,a like body of bees settled permanently in a hive
sway,the act of swaying
sweat,moisture issuing from any substance
sweep,the compass or range of a stroke
sweet,a perfume
sweetheart,a lover of mistress
sweetness,agreeableness
swelling,a prominence
swell,protuberance
swift,the ghost moth
swimming,the act of one who swims
swim,the act of swimming
swing,the act of swinging
sword,dissension
syllable,anything concise or short
symbol,a figure
sympathy,kindness of feeling toward one who suffers
system,a regular union of principles or parts forming one entire thing
tabernacle,"sometimes , any other place for worship"
table,"a smooth , flat surface , like the side of a board"
tackle,the rigging and apparatus of a ship
tactics,"the science and art of disposing military and naval forces in order for battle , and performing military and naval evolutions"
tact,nice perception or discernment
tail,abridgment
tailor,one whose occupation is to cut out and make men ' s garments
take,the quantity or copy given to a compositor at one time
taking,the act of gaining possession
tale,a reckoning by count
talent,"intellectual ability , natural or acquired"
talk,the act of talking
tank,"a heavily armored combat vehicle which moves on caterpillar treads , rather than wheels"
tap,a certain kind or quality of liquor
tapestry,"a fabric , usually of worsted , worked upon a warp of linen or other thread by hand , the designs being usually more or less pictorial and the stuff employed for wall hangings and the like"
target,the pattern or arrangement of a series of hits made by a marksman on a butt or mark
tariff,"the duty , or rate of duty , so imposed"
task,employment
taste,flavor
tavern,in modern times a public house licensed to sell liquor in small quantities
tax,a sum imposed or levied upon the members of a society to defray its expenses
taxation,"the act of laying a tax , or of imposing taxes , as on the subjects of a state , by government , or on the members of a corporation or company , by the proper authority"
teacher,a preacher
teaching,the act or business of instructing
team,a brood
tear,a fissure
tea,"the prepared leaves of a shrub , or small tree"
telegram,a message sent by telegraph
telephone,"an instrument for reproducing sounds , especially articulate speech , at a distance"
telescope,"an optical instrument used in viewing distant objects , as the heavenly bodies"
tell,a hill or mound
temperament,internal constitution
temperance,"specifically , moderation , and sometimes abstinence , in respect to using intoxicating liquors"
temperature,state
temper,due mixture of different qualities
tempest,any violent tumult or commotion
temple,among christians an edifice erected as a place of public worship
temporal,a temporality
temptation,an inducement
tenant,one who has the occupation or temporary possession of lands or tenements the title of which is in another
tendency,"direction or course toward any place , object , effect , or result"
tender,"a vessel employed to attend other vessels , to supply them with provisions and other stores , to convey intelligence , or the like"
tenderness,the quality or state of being tender ( in any sense of the adjective )
tenor,manner of continuity
tense,the modification which verbs undergo for the indication of time
tension,intense effort
tent,"a roll of lint or linen , or a conical or cylindrical piece of sponge or other absorbent , used chiefly to dilate a natural canal , to keep open the orifice of a wound , or to absorb discharges"
ten,the number greater by one than nine
tenth,the quotient of a unit divided by ten
termination,that which ends or bounds
term,the time for which anything lasts
terrace,"a raised level space , shelf , or platform of earth , supported on one or more sides by a wall , a bank of tuft , or the like , whether designed for use or pleasure"
territory,"in the united states , a portion of the country not included within the limits of any state , and not yet admitted as a state into the union , but organized with a separate legislature , under a territorial governor and other officers appointed by the president and senate of the united states"
terror,that which excites dread
testimony,profession
test,means of trial
text,anything chosen as the subject of an argument literary composition or the like
texture,"the disposition or connection of threads , filaments , or other slender bodies , interwoven"
thank,"obligation , claim , or desert , or gratitude"
thanksgiving,a public acknowledgment or celebration of divine goodness
theater,"anciently uncovered , except the stage , but in modern times roofed"
theft,larceny
theme,discourse on a certain subject
theology,"the science which treats of the existence , character , and attributes of god , his laws and government , the doctrines we are to believe , and the duties we are to practice"
theory,hypothesis
thermometer,"an instrument for measuring temperature , founded on the principle that changes of temperature in bodies are accompanied by proportional changes in their volumes or dimensions"
thicket,"a wood or a collection of trees , shrubs , etc"
thickness,the quality or state of being thick ( in any of the senses of the adjective )
thief,one who steals
thigh,the proximal segment of the hind limb between the knee and the trunk
thing,"whatever exists , or is conceived to exist , as a separate entity , whether animate or inanimate"
thinking,imagination
third,the sixtieth part of a second of time
thirst,the condition producing this sensation
thirteen,the number greater by one than twelve
thirteenth,the interval comprising an octave and a sixth
thirty,"the sum of three tens , or twenty and ten"
thorn,anything troublesome
thought,an idea
thousand,a collection or sum consisting of ten times one hundred units or objects
thread,"a very small twist of flax , wool , cotton , silk , or other fibrous substance , drawn out to considerable length"
threat,the expression of an intention to inflict evil or injury on another
three,the number greater by a unit than two
threshold,door
thrill,a tremulous excitement
throat,"a contracted portion of a vessel , or of a passage way"
throne,sovereign power and dignity
throng,a multitude of persons or of living beings pressing or pressed into a close body or assemblage
throw,"the distance which a missile is , or may be , thrown"
thrust,an assault
thunder,the sound which follows a flash of lightning
ticket,"a certificate or token of right of admission to a place of assembly , or of passage in a public conveyance"
tide,"tendency or direction of causes , influences , or events"
tie,"a knot of hair , as at the back of a wig"
tiger,"a servant in livery , who rides with his master or mistress"
timber,the crest on a coat of arms
timidity,the quality or state of being timid
tinge,tincture
tint,a slight coloring
tip,the point or extremity of anything
tire,a covering for the head
tissue,"specifically , cloth interwoven with gold or silver threads , or embossed with figures"
title,an inscription put over or upon anything as a name by which it is known
toast,"a sentiment , as “ the land we live in ,” “ the day we celebrate ,” etc"
tobacco,"the leaves of the plant prepared for smoking , chewing , etc"
toe,"one of the terminal members , or digits , of the foot of a man or an animal"
toilet,"a covering of linen , silk , or tapestry , spread over a table in a chamber or a dressing room"
token,"a sign of authenticity , of power , good faith , etc"
toleration,the allowance of that which is not wholly approved
tomb,a sepulcher
tomorrow,the day after the present
tom,the male of certain animals
tone,a kind of mournful or artificial strain of voice
tongue,discourse
tonight,the present or the coming night
ton,vogue
tool,an implement
tooth,taste
topic,the general or main subject of the whole
top,the highest rank
torch,"a light or luminary formed of some combustible substance , as of resinous wood"
tore,same as torus
torment,anguish
torrent,a strong current
torture,anguish of body or mind
toss,a particular manner of raising the head with a jerk
total,the whole sum or amount
touching,touch
touch,the tactile sense
tour,a comprehensive excursion
tout,"in the game of solo , a proposal to win all eight tricks"
tower,"a projection from a line of wall , as a fortification , for purposes of defense , as a flanker , either or the same height as the curtain wall or higher"
town,"any collection of houses larger than a village , and not incorporated as a city"
township,"in canada , one of the subdivisions of a county"
toy,folly
trace,"a mark , impression , or visible appearance of anything left when the thing itself no longer exists"
tracing,the act of copying by marking on thin paper or other transparent substance the lines of a pattern placed beneath
track,a mark left by something that has passed along
tract,extent
trade,barter
trader,one engaged in trade or commerce
tradition,custom or practice long observed
traffic,"the business done upon a railway , steamboat line , etc"
tragedy,that species of drama which represents the sad or terrible phases of character and life
trail,a track followed by the hunter
trailer,"one who , or that which , trails"
training,education
train,that part of a gown which trails behind the wearer
trait,a stroke
traitor,one who violates his allegiance and betrays his country
tramp,a tramper
trance,"a state in which the soul seems to have passed out of the body into another state of being , or to be rapt into visions"
transaction,an adjustment of a dispute between parties by mutual agreement
transcription,"an arrangement of a composition for some other instrument or voice than that for which it was originally written , as the translating of a song , a vocal or instrumental quartet , or even an orchestral work , into a piece for the piano"
transfer,"the conveyance of right , title , or property , either real or personal , from one person to another , whether by sale , by gift , or otherwise"
transformation,metabolism
transient,that which remains but for a brief time
transition,a modulation
translation,removal
transportation,conveyance
transport,carriage
trap,"a machine or contrivance that shuts suddenly , as with a spring , used for taking game or other animals"
traveler,a traveling crane
travel,"the act of traveling , or journeying from place to place"
tray,"a flat , broad vessel on which dishes , glasses , etc"
treachery,treasonable or perfidious conduct
tread,a step or stepping
treason,treachery
treasure,abundance
treasury,also the place of deposit and disbursement of any collected funds
treatise,a tract
treatment,the act or manner of treating
treat,that which affords entertainment
treaty,negotiation
tree,any perennial woody plant of considerable size ( usually over twenty feet high ) and growing with a single trunk
tremble,an involuntary shaking or quivering
tremor,a shivering or shaking
trench,a ditch
trial,"experiment , as in chemistry , metallurgy , etc"
tribe,a body of rude people united under one leader or government
tribune,"anciently , a bench or elevated place , from which speeches were delivered"
tribute,"an annual or stated sum of money or other valuable thing , paid by one ruler or nation to another , either as an acknowledgment of submission , or as the price of peace and protection , or by virtue of some treaty"
trick,a cunning contrivance
trifle,"a paltry , or trivial , affair"
trillion,"according to the english notation , the number produced by involving a million to the third power , or the number represented by a unit with eighteen ciphers annexed"
trim,condition
trip,a brief or rapid journey
triumph,victory
troop,a collection of people
trot,a child
trouble,uneasiness
truce,temporary cessation
trumpet,a trumpeter
trunk,"the body of an animal , apart from the head and limbs"
trust,exchange without immediate receipt of an equivalent
truth,constancy
try,attempt
tub,"a kind of short cask , half barrel , or firkin , usually with but one head , -- used for various purposes"
tube,a telescope
tumult,irregular or confused motion
tune,harmonious accordance
tunnel,a funnel
turf,"that upper stratum of earth and vegetable mold which is filled with the roots of grass and other small plants , so as to adhere and form a kind of mat"
turmoil,harassing labor
turner,a person who practices athletic or gymnastic exercises
turning,a meander
turn,"movement or motion about , or as if about , a center or axis"
tutor,"one who guards , protects , watches over , or has the care of , some person or thing"
twelfth,one of twelve equal parts of one whole
twelve,a dozen
twentieth,one of twenty equal parts of one whole
twenty,"the sum of twelve and eight , or twice ten"
twilight,"the light perceived before the rising , and after the setting , of the sun , or when the sun is less than 18 ° below the horizon , occasioned by the illumination of the earth ' s atmosphere by the direct rays of the sun and their reflection on the earth"
twinkle,the time of a wink
twinkling,a twinkle
twin,"one of two produced at a birth , especially by an animal that ordinarily brings forth but one at a birth"
twist,the act of twisting
type,a token
tyranny,severity
tyrant,an absolute ruler
ugly,"a shade for the face , projecting from the bonnet"
umbrella,"a shade , screen , or guard , carried in the hand for sheltering the person from the rays of the sun , or from rain or snow"
uncertainty,the quality or state of being uncertain
uncle,applied to an aunt ' s husband
underground,subterranean space
understanding,"the act of one who understands a thing , in any sense of the verb"
undertaking,"specifically , the business of an undertaker , or the management of funerals"
uneasiness,anxiety
uniform,a dress of a particular style or fashion worn by persons in the same service or order by means of which they have a distinctive appearance
uniformity,similitude between the parts of a whole
union,a consolidated body
unit,a single thing or person
unity,the state of being one
universe,creation
university,"an institution organized and incorporated for the purpose of imparting instruction , examining students , and otherwise promoting education in the higher branches of literature , science , art , etc"
upper,a vamp
uproar,violent disturbance and noise
upset,an overturn
usage,the act of using
usefulness,advantage
user,use
use,"the act of employing anything , or of applying it to one ' s service"
utility,"the greatest good , or happiness , of the greatest number , -- the foundation of utilitarianism"
utmost,the farthest limit
utterance,sale by offering to the public
vacancy,freedom from employment
vacation,intermission of judicial proceedings
vain,emptiness
vale,"a tract of low ground , or of land between hills"
valet,a kind of goad or stick with a point of iron
valley,"the strip of land at the bottom of the depressions intersecting a country , including usually the bed of a stream , with frequently broad alluvial plains on one or both sides of the stream"
valor,intrepidity
valuable,a precious possession
value,excellence
valve,"one or more membranous partitions , flaps , or folds , which permit the passage of the contents of a vessel or cavity in one direction , but stop or retard the flow in the opposite direction"
van,"a fan or other contrivance , as a sieve , for winnowing grain"
vanish,"the brief terminal part of a vowel or vocal element , differing more or less in quality from the main part"
vanity,idle show
vapor,"something unsubstantial , fleeting , or transitory"
variable,"a shifting wind , or one that varies in force"
variance,quarrel
variation,extent to which a thing varies
variety,the quality or state of being various
vase,"a vessel similar to that described in the first definition above , or the representation of one in a solid block of stone , or the like , used for an ornament , as on a terrace or in a garden"
vast,boundless space
vault,an arched apartment
vegetable,the edible part of such a plant as prepared for market or the table
vegetation,the sum of vegetable life
vehemence,violence
vehicle,a means of conveyance
veil,a cover
vein,"one of the vessels which carry blood , either venous or arterial , to the heart"
