abandon,careless freedom or ease
rush,a moving forward with rapidity and force or eagerness
rush,great activity with pressure
rustic,a rural person having a natural simplicity of character or manners
sack,a name formerly given to various dry spanish wines
sack,ravage
saddle,a piece of meat containing a part of the backbone of an animal with the ribs on each side
sadness,"quality of being sad , or unhappy"
safe,a place for keeping things in safety
safe,"a strong and fireproof receptacle ( as a movable chest of steel , etc"
sagacity,shrewdness
sailing,navigation
sailing,the art of managing a vessel
sailing,"the motion of a vessel on water , impelled by wind or steam"
saint,a holy or godly person
sake,concern
sake,end
sake,motive
sake,regard or respect
salary,stipend
sally,a quick issue
sally,a rushing or bursting forth
sally,deviation
saloon,a spacious and elegant apartment for the reception of company or for works of art
salt,also piquancy
salt,seasoning
salt,taste
salutation,"the act of greeting , or expressing good will or courtesy"
salute,greeting
salvation,"preservation or deliverance from destruction , danger , or great calamity"
sanctity,godliness
sanctity,holiness
sanctity,moral purity
sanctity,solemnity
sand,a moment or interval of time
sanguine,red
sap,"the juice of plants of any kind , especially the ascending and descending juices or circulating fluid essential to nutrition"
satire,"a composition , generally poetical , holding up vice or folly to reprobation"
sauce,a dressing for meat or fish or for puddings
sauce,a soft crayon for use in stump drawing or in shading with the stump
scale,an instrument or machine for weighing
scale,the dish of a balance
scar,a bare place on the side of a mountain or steep bank of earth
scar,an isolated or protruding rock
scare,sudden fright produced by a trifling cause or originating in mistake
scarlet,a vivid or bright red color
scenery,assemblage of scenes
scenery,representation of place of action or occurence
scent,course of pursuit
schedule,a formal list or inventory
scholar,a man of books
scholar,one who attends a school
school,a place for learned intercourse and instruction
science,knowledge of principles and causes
scope,extent
scope,intention
scope,object
score,an account or reckoning
score,one that is made as a tally mark
score,reason
scorn,that disdain which springs from the opinion of the utter meanness and unworthiness of an object
scotch,"collectively , the people of scotland"
scoundrel,a man without honor or virtue
scout,a person sent out to gain and bring in tidings
scrape,a perplexity
scream,a shriek
screen,a shield or protection
screen,"a surface , as that afforded by a curtain , sheet , wall , etc"
scripture,a passage from the bible
scripture,"the books of the old and the new testament , or of either of them"
scruple,a particle
scruple,a weight of twenty grains
scrutiny,critical observation
sea,"an inland body of water , especially if large or if salt or brackish"
seal,the wax or wafer placed on a letter or other closed paper etc
seaman,a mariner
season,a suitable or convenient time
season,"one of the divisions of the year , marked by alterations in the length of day and night , or by distinct conditions of temperature , moisture , etc"
seat,"an abode , a station"
seat,a site
sea,the ocean
sea,the whole body of the salt water which covers a large part of the globe
second,an assistant
secondary,a satellite
secondary,one who is second or next to the chief officer
second,"one who , or that which , follows , or comes after"
secrecy,fidelity to a secret
secrecy,forbearance of disclosure or discovery
secrecy,privacy
secrecy,the state or quality of being hidden
secretary,"an officer of state whose business is to superintend and manage the affairs of a particular department of government , and who is usually a member of the cabinet or advisory council of the chief executive"
secretary,"a person employed to write orders , letters , dispatches , public or private papers , records , and the like"
secretary,"a piece of furniture , with conveniences for writing and for the arrangement of papers"
secret,a thing not discovered
sect,in modern times a party dissenting from an established church
sect,"in society and the state , an order , rank , class , or party"
section,an article
section,the division of a law or other writing
secular,"a layman , as distinguished from a clergyman"
security,freedom from risk
security,heedlessness
seeming,fair appearance
selection,a collection of things chosen
selfishness,"that supreme self - love or self - preference which leads a person to direct his purposes to the advancement of his own interest , power , or happiness , without regarding those of others"
sell,an imposition
semblance,appearance
semblance,form
semblance,"resemblance , actual or apparent"
senate,a state council
senator,a member of the king ' s council
send,the impulse of a wave by which a vessel is carried bodily
senior,an older
senior,a person who is older than another
senior,"one older in office , or whose entrance upon office was anterior to that of another"
sensation,"a feeling , or state of consciousness , whether agreeable or disagreeable , produced either by an external object ( stimulus ), or by some change in the internal state of the body"
sense,perception by the sensory organs of the body
sense,perception through the intellect
sensibility,delicacy of feeling
sensibility,"the capacity of emotion or feeling , as distinguished from the intellect and the will"
sentence,a philosophical or theological opinion
sentence,doom
sentence,"in civil and admiralty law , the judgment of a court pronounced in a cause"
sentiment,a saying
sentiment,a toast
sentiment,judgment
sentiment,notion
sentry,a soldier placed on guard
sequel,effect
sequence,arrangement
sequence,succession
sequence,that which follows or succeeds as an effect
sequence,the state of being sequent
serene,serenity
serenity,composure
serenity,stillness
series,any comprehensive group of animals or plants including several subordinate related groups
series,a succession of things
servant,"a person who labors or exerts himself for the benefit of another , his master or employer"
servant,a subordinate helper
service,"attendance of an inferior , hired helper , slave , etc"
service,duty done or required
service,the deed of one who serves
servitude,"a right whereby one thing is subject to another thing or person for use or convenience , contrary to the common right"
set,a venture
set,termination
set,the close
setting,hunting with a setter
settle,a place made lower than the rest
settlement,"act of planting , as a colony"
settlement,"establishment in life , in business , condition , etc"
settling,dregs
settling,that which settles at the bottom of a liquid
seventeen,the number greater by one than sixteen
seventeenth,one of seventeen equal parts or divisions of one whole
severity,extreme strictness
sex,one of the two divisions of organic beings formed on the distinction of male and female
sex,the physical difference between male and female
shade,a secluded retreat
shade,partial darkness caused by the intervention of something between the space contemplated and the source of light
shadow,security
shaft,the long handle of a spear or similar weapon
shaft,the stem or midrib of a feather
shaft,the weapon itself
shake,"a fissure or crack in timber , caused by its being dried too suddenly"
shake,a vacillating or wavering motion
sham,delusion
shame,derision
shame,ignominy
shape,a being
shape,a pattern
share,a certain quantity
shed,"that which parts , divides , or sheds"
shepherd,"a man employed in tending , feeding , and guarding sheep , especially a flock grazing at large"
shepherd,one with the religious guidance of others
shield,"a broad piece of defensive armor , carried on the arm , -- formerly in general use in war , for the protection of the body"
shift,a chemise
shift,a spell or turn of work
shift,substitution
shift,"the act of putting one thing in the place of another , or of changing the place of a thing"
shine,the quality or state of shining
shipping,"the collective body of ships in one place , or belonging to one port , country , etc"
shirt,"a loose under - garment for the upper part of the body , made of cotton , linen , or other material"
shoot,a channel having a swift current connecting the ends of a bend in the stream so as to shorten the course
shoot,"an inclined plane , either artificial or natural , down which timber , coal , etc"
shoot,a shot
shooting,a wounding or killing with a firearm
shooting,"the act of one who , or that which , shoots"
shore,"a prop , as a timber , placed as a brace or support against the side of a building or other structure"
shore,"a prop placed beneath anything , as a beam , to prevent it from sinking or sagging"
shore,"the coast or land adjacent to a large body of water , as an ocean , lake , or large river"
shot,"a missile weapon , particularly a ball or bullet"
shot,a reckoning
shot,"specifically , whatever is discharged as a projectile from firearms or cannon by the force of an explosive"
shoulder,support
show,an exhibition
show,a spectacle
shower,one who shows or exhibits
show,exposure to sight
show,parade
show,"the act of showing , or bringing to view"
shrine,a place or object hallowed from its history or associations
shrug,"a gesture consisting of drawing up the shoulders , -- a motion usually expressing doubt , indifference , or dislike"
side,"the margin , edge , verge , or border of a surface"
side,"when the thing spoken of is somewhat oblong in shape ), one of the longer edges as distinguished from the shorter edges , called ends"
siege,a continued attempt to gain possession
siege,the floor of a glass - furnace
sigh,"figuratively , a manifestation of grief"
sight,perception of objects by the eye
sight,space through which the power of vision extends
sight,"the faculty of vision , or of perceiving objects by the instrumentality of the eyes"
sight,view
signal,an indication
signal,a token
sign,a miracle
sign,a prodigy
sign,"a remarkable event , considered by the ancients as indicating the will of some deity"
significance,consequence
significant,a sign
silence,muteness
silence,secrecy
silver,"a soft white metallic element , sonorous , ductile , very malleable , and capable of a high degree of polish"
similarity,likeness
simplicity,artlessness of mind
simplicity,"the quality or state of being not complex , or of consisting of few parts"
sin,"any violation of god ' s will , either in purpose or conduct"
sin,disobedience of the divine command
single,a unit
sin,iniquity
sink,a drain to carry off filthy water
sir,a title prefixed to the christian name of a knight or a baronet
sire,an author
sire,an originator
sire,the husband
sister,"one of the same kind , or of the same condition"
site,a place fitted or chosen for any certain permanent use or occupation
sitting,the posture of one who occupies a seat
sitting,the state or act of one who sits
situation,relative position
sixteen,the number greater by a unit than fifteen
sixteenth,the quotient of a unit divided by sixteen
size,"an allowance of food and drink from the buttery , aside from the regular dinner at commons"
size,"a thin , weak glue used in various trades , as in painting , bookbinding , paper making , etc"
size,six
skeleton,the more or less firm or hardened framework of an invertebrate animal
sketch,an outline or general delineation of anything
skin,"the hide of an animal , separated from the body , whether green , dry , or tanned"
skipper,the master or captain of any vessel
skipper,the saury
skirt,border
slate,argillaceous schist
slate,argillite
slate,"a thin , flat piece , for roofing or covering houses , etc"
slave,a person who is held in bondage to another
slave,"one who has no freedom of action , but whose person and services are wholly under the control of another"
slavery,the state of entire subjection of one person to the will of another
sleeve,"a long bushing or thimble , as in the nave of a wheel"
slide,"smooth , even passage or progress"
slight,indignity
slight,neglect
slip,a false step
slip,a scion
slumber,light sleep
slumber,sleep
small,same as little go
small,smallclothes
smart,"severe , pungent pain of mind"
smile,favor
smile,the act of smiling
smite,a blow
smith,one who forges with the hammer
snap,"a sudden seizing , or effort to seize , as with the teeth"
snare,"a contrivance , often consisting of a noose of cord , or the like , by which a bird or other animal may be entangled and caught"
snatch,a scrap
sneer,an indirect expression or insinuation of contempt
sneer,the act of sneering
snuff,the amount taken at once
snuff,"the part of a candle wick charred by the flame , whether burning or not"
society,"an association for mutual or joint usefulness , pleasure , or profit"
society,companionship
society,fellowship
soda,"popularly , sodium carbonate or bicarbonate"
soda,sodium oxide or hydroxide
soil,a marshy or miry place to which a hunted boar resorts for refuge
soil,a wet place stream or tract of water sought for by other game as deer
soil,"the mold , or that compound substance which furnishes nutriment to plants , or which is particularly adapted to support and nourish them"
solace,that which relieves in distress
sol,a fluid mixture of a colloid and a liquid
sol,a silver and gold coin of peru
soldier,"a man of military experience and skill , or a man of distinguished valor"
solemnity,a rite or ceremony performed with religious reverence
sole,the bottom of the body of a plow
solicitude,the state of being solicitous
solid,a part of space bounded on all sides
solid,a substance not fluid
solitude,seclusion
solution,clearing up
son,a male child
son,any young male person spoken of as a child
son,"a pupil , ward , or any other young male dependent"
song,"more generally , any poetical strain"
son,"the male issue , or offspring , of a parent , father or mother"
sore,"a painful or diseased place , such as an ulcer or a boil"
sore,difficulty
sorrow,sadness
sort,a class or order
sort,a suit
sort,form of being or acting
soul,the animating or essential part
soul,the moving spirit
soul,the source of action
soul,"the spiritual , rational , and immortal part in man"
sounding,"the act of one who , or that which , sounds ( in any of the senses of the several verbs )"
sound,report
sound,the air bladder of a fish
sound,"the effect of an impression made on the organs of hearing by an impulse or vibration of the air caused by a collision of bodies , or by other means"
source,a fountain
source,"the rising from the ground , or beginning , of a stream of water or the like"
south,the southern section of a country
sovereignty,independence
sovereignty,"the exercise of , or right to exercise , supreme power"
spark,a lover
spark,a small particle of fire or ignited substance which is emitted by a body in combustion
spark,"a small , shining body , or transient light"
spark,a sparkle
sparkle,brilliancy
speaking,the act of uttering words
specimen,a sample
speck,a particle
speck,"a small discolored place in or on anything , or a small place of a color different from that of the main substance"
speck,a very small thing
spectacle,an aid to the intellectual sight
spectacle,"an optical instrument consisting of two lenses set in a light frame , and worn to assist sight , to obviate some defect in the organs of vision , or to shield the eyes from bright light"
spectacle,a show
speech,"a particular language , as distinct from others"
speed,favorable issue
speed,swiftness
spell,a gratuitous helping forward of another ' s work
spell,a turn at work which is carried on by one person or gang relieving another
spelling,formation of words by letters
spirit,"the intelligent , immaterial and immortal part of man"
spit,"a long , slender , pointed rod , usually of iron , for holding meat while roasting"
spite,petty malice
splendor,brilliancy
splendor,great brightness
splendor,parade
sport,a plaything
sport,derision
sport,"that with which one plays , or which is driven about in play"
spot,a mark on a substance or body made by foreign matter
spot,a place discolored
spouse,"a married person , husband or wife"
spray,a small shoot or branch
spur,"an implement secured to the heel , or above the heel , of a horseman , to urge the horse by its pressure"
squadron,"a body of cavalry comprising two companies or troops , and averaging from one hundred and twenty to two hundred men"
square,a parallelogram having four equal sides and four right angles
squire,a beau
stability,constancy
stability,firmness of resolution or purpose
stability,fixedness
stability,steadfastness
stability,steadiness
staff,a badge of office
staff,"a pole or stick , used for many purposes"
staff,a stick
staff,a support
stage,"an elevated platform on which an orator may speak , a play be performed , an exhibition be presented , or the like"
stage,"a platform , often floating , serving as a kind of wharf"
stage,a scaffold
stage,a staging
stair,but originally used in the singular only
stair,one step of a series for ascending or descending to a different level
stairway,a staircase
stalk,"a high , proud , stately step or walk"
stalk,"the petiole , pedicel , or peduncle , of a plant"
stall,a fixed spot
stall,a stable
stamp,"any instrument for making impressions on other bodies , as a die"
stand,"a halt or stop for the purpose of defense , resistance , or opposition"
standard,a banner
standing,duration or existence in the same place or condition
stare,a fixed look with eyes wide open
star,one of the innumerable luminous bodies seen in the heavens
start,"a convulsive motion , twitch , or spasm"
start,"any sudden motion , or beginning of motion"
state,condition of prosperity or grandeur
statement,a narrative
statement,that which is stated
statesman,"one occupied with the affairs of government , and influential in shaping its policy"
state,the circumstances or condition of a being or thing at any given time
station,"the place at which an instrument is planted , or observations are made , as in surveying"
statistics,those facts which can be stated in numbers or in tables of numbers or in any tabular and classified arrangement
statue,an image
stature,the natural height of an animal body
status,position of affairs
statute,"an act of a corporation or of its founder , intended as a permanent rule or law"
stay,a support
stead,"place or room which another had , has , or might have"
stealing,stolen property
steamer,"a road locomotive for use on common roads , as in agricultural operations"
steamer,a vessel propelled by steam
steam,visible vapor
steep,a fertilizing liquid to hasten the germination of seeds
steer,a common ox
steer,a young male of the ox kind
stem,"a peduncle , pedicel , or petiole"
stem,"the principal body of a tree , shrub , or plant , of any kind"
step,the space passed over by one movement of the foot in walking or running
sterling,any english coin of standard value
stick,"any long and comparatively slender piece of wood , whether in natural form or shaped with tools"
stick,a staff
still,a distillery
still,freedom from noise
stillness,quietness
still,silence
stir,the act or result of stirring
stir,tumultuous disorder
stock,a block of wood
stock,a post
stomach,appetite in general
stone,any particular mass of such matter
stool,a discharge from the bowels
stoop,condescension
stoop,"descent , as from dignity or superiority"
stop,check
stopping,a pad or poultice of dung or other material applied to a horse ' s hoof to keep it moist
store,"a great quantity , or a great number"
storm,violence
story,” a fib
story,the relation of an incident or minor event
stout,"a strong , dark malt brew having a higher percentage of hops than porter"
stove,a house or room artificially warmed or heated
strain,a complete musical period or sentence
strain,"a movement , or any rounded subdivision of a movement"
strain,stock
strand,"rarely , the margin of a navigable river"
straw,"a stalk or stem of certain species of grain , pulse , etc"
streak,a stripe
stream,"specifically , any course of running water"
street,"iginally , a paved way road"
strength,impregnability
stress,force of utterance expended upon words or syllables
stretch,strain
stroke,a knock
stroll,an idle and leisurely walk
structure,the arrangement of the different tissues or parts of animal and vegetable organisms
student,a learner
student,an attentive and systematic observer
student,one who attends a school or who seeks knowledge from professional teachers or from books
study,absorbed or thoughtful attention
study,any object of attentive consideration
study,any particular branch of learning that is studied
study,a setting of the mind or thoughts upon a subject
study,mental occupation
stuff,elemental part
stuff,fabric of any kind
stump,a stub
sub,"a shortened form of submarine , the boat"
sub,a subaltern
subject,"that which is subjected , or submitted to , any physical operation or process"
submarine,a ship that can travel under the surface of the water
submission,meekness
submission,surrender of the person and power to the control or government of another
submission,the act of submitting
subscription,a paper to which a signature is attached
subsistence,means of support
substance,body
substance,substratum
substance,that in which properties inhere
succession,"the act of succeeding , or following after"
successor,"one who takes the place which another has left , and sustains the like part or character"
suffrage,"a vote given in deciding a controverted question , or in the choice of a man for an office or trust"
suffrage,vote
sugar,compliment or flattery used to disguise or render acceptable something obnoxious
suggestion,a hint
suggestion,"an entry of a material fact or circumstance on the record for the information of the court , at the death or insolvency of a party"
suggestion,an intimation
suggestion,temptation
suite,a set
suit,legal application to a court for justice
suit,pursuit
suit,the process by which one endeavors to gain an end or an object
sultan,"a ruler , or sovereign , of a mohammedan state"
sum,a quantity of money or currency
sum,compendium
summit,the acme
summons,"a written notification signed by the proper officer , to be served on a person , warning him to appear in court at a day specified , to answer to the plaintiff , testify as a witness , or the like"
sunshine,brightness
sun,"the luminous orb , the light of which constitutes day , and its absence night"
superstition,religious veneration for objects
superstition,the worship of a false god or gods
supplement,"specifically , a part added to , or issued as a continuation of , a book or paper , to make good its deficiencies or correct its errors"
supplement,"that which fills up , completes , or makes an addition to , something already organized , arranged , or set apart"
supply,"the food , and the like , which meets the daily necessities of an army or other large body of men"
support,"that which maintains or preserves from being overcome , falling , yielding , sinking , giving way , or the like"
supposition,conjecture
supposition,hypothesis
supposition,surmise
supposition,that which is supposed
surface,superficies
surface,the exterior part of anything that has length and breadth
surplus,excess
surprise,emotion excited by what is sudden and strange
surprise,the act of seizing unexpectedly
surrender,the giving up of a principal into lawful custody by his bail
surrender,the yielding of a particular estate to him who has an immediate estate in remainder or reversion
survey,a measured plan and description of any portion of country or of a road or line through it
surveying,the act or occupation of making surveys
suspense,a temporary cessation of one ' s right
suspense,cessation for a time
suspense,stop
swallow,the act of swallowing
swamp,marshy ground away from the seashore
sway,preponderance
sweat,"a transparent , colorless , acid liquid with a peculiar odor , containing some fatty acids and mineral matter"
sweetness,the quality or state of being sweet ( in any sense of the adjective )
swift,the ghost moth
swim,a part of a stream much frequented by fish
swim,the act of swimming
swing,any contrivance by which a similar motion is produced for amusement or exercise
sword,war
syllable,a small part of a sentence or discourse
syllable,"in writing and printing , a part of a word , separated from the rest , and capable of being pronounced by a single impulse of the voice"
sympathy,pity
sympathy,"the quality of being affected by the affection of another , with feelings correspondent in kind , if not in degree"
system,the whole scheme of created things regarded as forming one complete plan of whole
tabernacle,a slightly built or temporary habitation
tackle,"apparatus for raising or lowering heavy weights , consisting of a rope and pulley blocks"
tactics,any system or method of procedure
tact,peculiar skill or faculty
tail,abridgment
tail,limitation
tailor,one who cuts out and makes ladies ' outer garments
taking,a seizing
taking,distress of mind
tale,a number reckoned or stated
tale,history
talent,faculty
talent,"intellectual ability , natural or acquired"
talk,report
talk,subject of discourse
talk,"that which is uttered , especially in familiar conversation , or the mutual converse of two or more"
tap,a faucet
tariff,"a schedule , system , or scheme of duties imposed by the government of a country upon goods imported or exported"
tariff,"the duty , or rate of duty , so imposed"
taste,flavor
teacher,an instructor
teacher,a preacher
team,a number of animals moving together
tear,a rent
tear,"the act of tearing , or the state of being torn"
temperance,habitual moderation in regard to the indulgence of the natural appetites and passions
temperature,"condition with respect to heat or cold , especially as indicated by the sensation produced , or by the thermometer or pyrometer"
tempest,any violent tumult or commotion
tenant,an occupant
tenant,one who has the occupation or temporary possession of lands or tenements the title of which is in another
tendency,drift
tender,money offered in payment of an obligation
tender,one who tends
tenor,constant mode
tenor,course
tenor,meaning
tenor,purport
tenor,stamp
tension,extreme strain of mind or excitement of feeling
tension,strain
tension,the state of being bent strained
tent,"a roll of lint or linen , or a conical or cylindrical piece of sponge or other absorbent , used chiefly to dilate a natural canal , to keep open the orifice of a wound , or to absorb discharges"
ten,the sum of five and five
tenth,one coming after nine others
term,bound
termination,limit in space or extent
term,the time for which anything lasts
terror,violent dread
test,any critical examination or decisive trial
testimony,declaration
testimony,profession
test,means of trial
text,theme
text,"the original words of an author , in distinction from a paraphrase , annotation , or commentary"
thank,an acknowledgment expressive of a sense of favor or kindness received
thank,"obligation , claim , or desert , or gratitude"
theater,"anciently uncovered , except the stage , but in modern times roofed"
theft,"specifically , the felonious taking and removing of personal property , with an intent to deprive the rightful owner of the same"
theme,a proposition for discussion or argument
theme,discourse on a certain subject
theology,the science of god or of religion
theory,an exposition of the general or abstract principles of any science
thing,a deed
thing,"an inanimate object , in distinction from a living being"
thing,"in scandinavian countries , a legislative or judicial assembly"
thing,"whatever exists , or is conceived to exist , as a separate entity , whether animate or inanimate"
third,one of three equal parts into which anything is divided
thirst,a craving or longing
thorn,"usually , a branch so transformed"
thought,cogitation
thought,the exercise of the mind in any of its higher forms
thread,"a component fiber of any or of any fibrous substance , as of bark"
thread,"a filament of any substance , as of glass , gold or silver"
thread,the rib
threat,denunciation
throat,"the part of the neck in front of , or ventral to , the vertebral column"
throat,the passage through it to the stomach and lungs
throne,"a chair of state , commonly a royal seat , but sometimes the seat of a prince , bishop , or other high dignitary"
throne,an exalted or dignified personage
throng,a crowd
throng,a multitude of persons or of living beings pressing or pressed into a close body or assemblage
throw,a cast of dice
thrust,an assault
thrust,an attack
thrust,a stab
thrust,the force or pressure of one part of a construction against other parts
thunder,the sound which follows a flash of lightning
tide,course
tiger,"a ferocious , bloodthirsty person"
timber,material for any structure
timber,the crest on a coat of arms
tinge,color
tinge,dye
tinge,taste
tip,a light touch or blow
tip,"a piece , as a cap , nozzle , ferrule , or point , applied to the extreme end of anything"
tip,the end
toe,the fore part of the hoof or foot of an animal
token,a symbol
tomb,a monument erected to inclose the body and preserve the name and memory of the dead
tone,"sound , or the character of a sound , or a sound considered as of this or that character"
tongue,fluency of speech or expression
tonight,the present or the coming night
ton,the prevailing fashion or mode
ton,vogue
topic,a commonplace of argument or oratory
top,summit
top,the utmost attainable place
top,vertex
torment,"the utmost degree of misery , either of body or mind"
torrent,a strong current
torrent,"a violent stream , as of water , lava , or the like"
toss,"a throwing upward , or with a jerk"
toss,the act of tossing
total,the whole
touch,act or power of exciting emotion
touch,the sense by which the properties of bodies are determined by contact
tout,"in the game of solo , a proposal to win all eight tricks"
tower,"a projection from a line of wall , as a fortification , for purposes of defense , as a flanker , either or the same height as the curtain wall or higher"
toy,a trifle
toy,a wild fancy
toy,trifling opinion
trace,"a connecting bar or rod , pivoted at each end to the end of another piece , for transmitting motion , especially from one plane to another"
trace,a footprint
trace,a path
trace,a tug
tracing,a regular path or track
track,trace
track,vestige
tract,"a written discourse or dissertation , generally of short extent"
tract,expanse
tract,extent
traffic,"the business done upon a railway , steamboat line , etc"
traffic,trade
tragedy,"a dramatic poem , composed in elevated style , representing a signal action performed by some person or persons , and having a fatal issue"
train,a snare
traitor,one who aids an enemy in conquering his country
traitor,one who betrays any confidence or trust
tramp,a tramper
transcription,an arrangement
transfer,"the act of transferring , or the state of being transferred"
transition,passage from one place or state to another
translation,interpretation
translation,"the act of translating , removing , or transferring"
transportation,removal
transportation,"the act of transporting , or the state of being transported"
tray,a waiter
treachery,violation of allegiance or of faith and confidence
tread,pressure with the foot
treason,treachery
treasury,a place or building in which stores of wealth are deposited
treasury,a repository of abundance
treaty,"the act of treating for the adjustment of differences , as for forming an agreement"
tremor,a trembling
trial,proof
trial,test
trick,"a sly , dexterous , or ingenious procedure fitted to puzzle or amuse"
trick,"a sly procedure , usually with a dishonest intent"
trifle,"a paltry , or trivial , affair"
trillion,"according to the french notation , which is used upon the continent generally and in the united states , the number expressed by a unit with twelve ciphers annexed"
trim,condition
trim,dress
trip,a failure
trip,a false step
trip,a loss of footing or balance
trip,a stumble
triumph,conquest
troop,a company
troop,a number
troop,"soldiers , collectively"
trouble,a fault or interruption in a stratum
trumpet,a trumpeter
trumpet,"a wind instrument of great antiquity , much used in war and military exercises , and of great value in the orchestra"
trunk,stalk
trust,"assured resting of the mind on the integrity , veracity , justice , friendship , or other sound principle , of another person"
trust,delivery of property or merchandise in reliance upon future payment
trust,hope
truth,"close correspondence with an example , mood , object of imitation , or the like"
truth,conformity to rule
truth,fidelity
tube,"a vessel in animal bodies or plants , which conveys a fluid or other substance"
tumult,irregular or confused motion
tune,adjustment of the parts of an instrument so as to harmonize with itself or with others
tune,the state of giving the proper sound or sounds
tunnel,a funnel
turf,"peat , especially when prepared for fuel"
turmoil,harassing labor
turmoil,molestation by tumult
turn,a bend
turn,"different order , position , or aspect of affairs"
turner,a person who practices athletic or gymnastic exercises
turner,a tumbler
turning,a meander
turning,a winding
turn,revolution
turn,the act of turning
turn,vicissitude
tutor,one who has the charge of a child or pupil and his estate
twelfth,the next in order after the eleventh
twelve,a dozen
twelve,"the sum of ten and two , or of twice six"
twentieth,one coming after nineteen others
twilight,a dubious or uncertain medium through which anything is viewed
twinkle,"a brief flash or gleam , especially when rapidly repeated"
twinkle,a wink or sparkle of the eye
twinkle,the time of a wink
twist,a bending
twist,a flexure
type,form or character impressed
type,the mark or impression of something
tyrant,"one who by taxation , injustice , or cruel punishment , or the demand of unreasonable services , imposes burdens and hardships on those under his control , which law and humanity do not authorize , or which the purposes of government do not require"
understanding,anything mutually understood or agreed upon
understanding,explanation
understanding,"the act of one who understands a thing , in any sense of the verb"
understanding,the higher capacities of the intellect
understanding,the intelligence
undertaking,"any business , work , or project which a person engages in , or attempts to perform"
uneasiness,anxiety
union,a league
union,coalition
union,concord
unity,agreement
unity,oneness
universe,"the whole body of things , or of phenomena"
upper,a vamp
uproar,bustle and clamor
uproar,great tumult
usage,conduct with respect to a person or a thing
use,employment
use,necessity
user,enjoyment of property
use,the state of being so employed or applied
utility,intrinsic value
utility,production of good
utility,"the greatest good , or happiness , of the greatest number , -- the foundation of utilitarianism"
utmost,the farthest limit
utmost,"the greatest power , degree , or effort"
utterance,articulation
utterance,speech
utterance,vocal expression
vacancy,freedom from employment
vacancy,idleness
vacation,a making void or of no force
vacation,"a period of intermission of regular paid work or employment , or of studies and exercises at an educational institution"
vacation,recess ( at a school )
vain,vanity
value,precise signification
valve,one of a pair of folding doors or one of the leaves of such a door
valve,"one or more membranous partitions , flaps , or folds , which permit the passage of the contents of a vessel or cavity in one direction , but stop or retard the flow in the opposite direction"
van,"a fan or other contrivance , as a sieve , for winnowing grain"
vanity,an inflation of mind upon slight grounds
vanity,emptiness
vanity,empty pride inspired by an overweening conceit of one ' s personal attainments or decorations
vanity,idle show
vanity,that which is vain
vanity,the quality or state of being vain
vanity,vain pursuit
van,the front of an army
vapor,"any substance in the gaseous , or a ë riform , state , the condition of which is ordinarily that of a liquid or solid"
variance,"a disagreement or difference between two parts of the same legal proceeding , which , to be effectual , ought to agree , -- as between the writ and the declaration , or between the allegation and the proof"
variation,amount of departure from a position or state
variation,amount or rate of change
variation,"a partial change in the form , position , state , or qualities of a thing"
variation,modification
variety,a varied assortment
variety,the quality or state of being various
vegetable,"a plant used or cultivated for food for man or domestic animals , as the cabbage , turnip , potato , bean , dandelion , etc"
vegetation,"an exuberant morbid outgrowth upon any part , especially upon the valves of the heart"
vegetation,vegetables or plants in general
vehicle,a substance in which medicine is taken
vehicle,"that in or on which any person or thing is , or may be , carried , as a coach , carriage , wagon , cart , car , sleigh , bicycle , etc"
veil,a mask
veil,"something hung up , or spread out , to intercept the view , and hide an object"
vein,one of the similar branches of the framework of a leaf
velvet,the soft and highly vascular deciduous skin which envelops and nourishes the antlers of deer during their rapid growth
vengeance,retribution
venture,an undertaking of chance or danger
venture,a risk
venture,chance
veranda,"an open , roofed gallery or portico , adjoining a dwelling house , forming an out - of - door sitting room"
verse,metrical arrangement and language
verse,poetry
verse,that which is composed in metrical form
vessel,a general name for any hollow structure made to float upon the water for purposes of navigation
vest,an outer garment
veteran,"one who has had much experience , or has grown old or decrepit in service"
vexation,the cause of trouble or disquiet
vexation,trouble
vicar,the incumbent of an appropriated benefice
vice,immorality
vicinity,nearness
vicinity,"that which is near , or not remote"
vicinity,"the quality or state of being near , or not remote"
victim,"a creature immolated , or made an offering of"
victim,"a person or thing destroyed or sacrificed in the pursuit of an object , or in gratification of a passion"
victory,a gaining of the superiority in any struggle or competition
victory,conquest
victory,"the defeat of an enemy in battle , or of an antagonist in any contest"
victory,triumph
view,examination by the eye
view,intellectual perception or examination
view,look
view,reach or range of sight
vigilance,care
vigor,efficacy
villain,a scamp
violation,profanation or contemptuous treatment of sacred things
violence,assault
violet,"any plant or flower of the genus viola , of many species"
virgin,a maid
virtue,efficacy
virtue,potency
vision,the act of seeing external objects
visit,"a brief stay of business , friendship , ceremony , curiosity , or the like , usually longer than a call"
visit,an official or formal inspection
vocabulary,"a dictionary or lexicon , either of a whole language , a single work or author , a branch of science , or the like"
vocabulary,a word - book
vocal,a tonic element
vocation,occupation
vocation,profession
voice,"sound of the kind or quality heard in speech or song in the consonants b v d , etc"
voice,tone
volume,a collection of printed sheets bound together whether containing a single work or a part of a work or more than one work
volume,a turn
volunteer,"one who enters into service voluntarily , but who , when in service , is subject to discipline and regulations like other soldiers"
vote,a ticket
vote,expression of judgment or will by a majority
voyage,"a journey , in general"
wad,"a little mass , tuft , or bundle , as of hay or tow"
wad,black ocher
wage,meed
