abandon,freedom from artificial constraint
salute,salutation
salvation,"the redemption of man from the bondage of sin and liability to eternal death , and the conferring on him of everlasting happiness"
sample,"a part of anything presented for inspection , or shown as evidence of the quality of the whole"
sanction,confirmation
sanctity,godliness
sanctuary,a consecrated spot
sand,"fine particles of stone , especially of siliceous stone , but not reduced to dust"
sandstone,a rock made of sand more or less firmly united
sanguine,blood color
sap,a simpleton
sarcasm,a satirical remark uttered with some degree of scorn or contempt
satin,"a silk cloth , of a thick , close texture , and overshot woof , which has a glossy surface"
satire,trenchant wit
satisfaction,gratification of desire
sauce,impertinence
savage,"a man of extreme , unfeeling , brutal cruelty"
saw,a saying
saying,a proverb
scaffold,"a temporary structure of timber , boards , etc"
scale,"a series of spaces marked by lines , and representing proportionately larger distances"
scandal,reproachful aspersion
scar,an isolated or protruding rock
scare,fright
scarf,a light shawl or handkerchief for the neck
scarlet,"a deep bright red tinged with orange or yellow , -- of many tints and shades"
scattering,act of strewing about
scenery,"combination of natural views , as woods , hills , etc"
scene,the stage
scent,"specifically , the odor left by an animal on the ground in passing over it"
schedule,a written or printed scroll or sheet of paper
scheme,a combination of things connected and adjusted by design
scholar,a man of books
school,a place for learned intercourse and instruction
schooner,"a large goblet or drinking glass , -- used for lager beer or ale"
science,ascertained truth of facts
scope,free course or vent
score,indebtedness
scorn,extreme and lofty contempt
scotch,the dialect or dialects of english spoken by the people of scotland
scoundrel,a man without honor or virtue
scourge,a means of inflicting punishment vengeance or suffering
scout,one employed in war to gain information of the movements and condition of an enemy
scrap,a bit
scrape,a perplexity
scratch,"a slight wound , mark , furrow , or incision"
scream,"a sharp , shrill cry , uttered suddenly , as in terror or in pain"
screen,"a surface , as that afforded by a curtain , sheet , wall , etc"
screw,a form of wheel for propelling steam vessels
scripture,anything written
scrub,a mean fellow
scruple,a very small quantity
scrutiny,close examination
sculpture,"carved work modeled of , or cut upon , wood , stone , metal , etc"
seal,the wax or wafer placed on a letter or other closed paper etc
seaman,a mariner
sea,"one of the larger bodies of salt water , less than an ocean , found on the earth ' s surface"
search,pursuit for finding something
season,a suitable or convenient time
seat,that part of a thing on which a person sits
second,an assistant
secondary,a satellite
secrecy,privacy
secretary,"an officer of state whose business is to superintend and manage the affairs of a particular department of government , and who is usually a member of the cabinet or advisory council of the chief executive"
secret,a thing not discovered
sect,"in society and the state , an order , rank , class , or party"
section,"a part of a territory separated by geographical lines , or of a people considered as distinct"
secular,a church official whose functions are confined to the vocal department of the choir
security,heedlessness
seed,the generative fluid of the male
seeming,show
seizing,the act of taking or grasping suddenly
selection,"the act of selecting , or the state of being selected"
selfishness,"that supreme self - love or self - preference which leads a person to direct his purposes to the advancement of his own interest , power , or happiness , without regarding those of others"
sell,an imposition
semblance,show
senate,"in general , a legislative body"
senator,a member of the king ' s council
send,the impulse of a wave by which a vessel is carried bodily
senior,a person who is older than another
sensation,a purely spiritual or psychical affection
sense,appreciation
sensibility,actual feeling
sensible,anything perceptible
sentence,a philosophical or theological opinion
sentiment,thought
sentinel,one who watches or guards
sentry,a sentinel
separation,"the act of separating , or the state of being separated , or separate"
sequel,a succeeding part
sequence,sequel
serene,clearness
serenity,calmness of mind
sergeant,"in a company , battery , or troop , a noncommissioned officer next in rank above a corporal , whose duty is to instruct recruits in discipline , to form the ranks , etc"
series,course
sermon,"specifically , a discourse delivered in public , usually by a clergyman , for the purpose of religious instruction and grounded on some text or passage of scripture"
serpent,"a snake , especially a large snake"
servant,a subordinate helper
service,religious rites appropriate to any event or ceremonial
servitude,the condition of a slave
session,"the actual sitting of a court , council , legislature , etc"
set,the close
setting,"something set in , or inserted"
settle,a wide step or platform lower than some other part
settlement,the act or process of adjusting or determining
settling,"the act of one who , or that which , settles"
seventeen,the sum of ten and seven
seventeenth,one coming after sixteen others
seven,the number greater by one than six
seventh,one of seven equal parts into which anything is divided
seventy,the sum of seven times ten
severity,extremity
sewing,that which is sewed with the needle
sex,the physical difference between male and female
shade,comparative obscurity owing to interception or interruption of the rays of light
shadow,shelter
shaft,the weapon itself
shake,agitation
shallow,a flat
sham,"a false front , or removable ornamental covering"
shame,contempt
shape,outward aspect
share,a dividend
sharp,a sewing needle having a very slender point
shed,a covered structure for housing aircraft
sheer,the position of a vessel riding at single anchor and swinging clear of it
sheet,an expanded superficies
shelf,"a sand bank in the sea , or a rock , or ledge of rocks , rendering the water shallow , and dangerous to ships"
shell,a pod
shelter,a screen
shepherd,"a man employed in tending , feeding , and guarding sheep , especially a flock grazing at large"
shield,protection
shift,substitution
shilling,"in the united states , a denomination of money , differing in value in different states"
shine,sunshine
shining,emission or reflection of light
ship,any large seagoing vessel
shipping,"the collective body of ships in one place , or belonging to one port , country , etc"
shirt,"a loose under - garment for the upper part of the body , made of cotton , linen , or other material"
shiver,"one of the small pieces , or splinters , into which a brittle thing is broken by sudden violence"
shock,a thick mass of bushy hair
shoe,"a band of iron or steel , or a ship of wood , fastened to the bottom of the runner of a sleigh , or any vehicle which slides on the snow"
shook,"the parts of a piece of house furniture , as a bedstead , packed together"
shoot,a channel having a swift current connecting the ends of a bend in the stream so as to shorten the course
shooting,"the act of one who , or that which , shoots"
shop,"a person ' s occupation , business , profession , or the like , as a subject of attention , interest , conversation , etc"
shore,"a prop placed beneath anything , as a beam , to prevent it from sinking or sagging"
short,a summary account
shot,the act of shooting
shoulder,support
shout,a loud burst of voice or voices
shower,"sometimes , but rarely , a like fall of snow"
showing,statement
show,parade
shriek,"a sharp , shrill outcry or scream"
shrine,"a case , box , or receptacle , especially one in which are deposited sacred relics , as the bones of a saint"
shrink,shrinkage
shrug,"a gesture consisting of drawing up the shoulders , -- a motion usually expressing doubt , indifference , or dislike"
shudder,"the act of shuddering , as with fear"
shut,the act or time of shutting
shy,"a sudden start aside , as by a horse"
sickness,the quality or state of being sick or diseased
side,any part or position viewed as opposite to or contrasted with another
sidewalk,a foot pavement
siege,the sitting of an army around or before a fortified place for the purpose of compelling the garrison to surrender
sigh,the act of sighing
sight,space through which the power of vision extends
signal,an indication
sign,a proof
signature,an outward mark by which internal characteristics were supposed to be indicated
significance,moment
significant,a symbol
silence,muteness
silk,thread spun or cloth woven from the above - named material
silver,"a soft white metallic element , sonorous , ductile , very malleable , and capable of a high degree of polish"
similarity,likeness
simple,a medicinal plant
simplicity,"the quality or state of being simple , unmixed , or uncompounded"
sincerity,"freedom from simulation , hypocrisy , disguise , or false pretense"
singer,one employed to singe cloth
single,a game with but one player on each side
sin,iniquity
sink,"a shallow box or vessel of wood , stone , iron , or other material , connected with a drain , and used for receiving filthy water , etc"
sinner,a persistent and incorrigible transgressor
sire,"a tittle of respect formerly used in speaking to elders and superiors , but now only in addressing a sovereign"
sir,"sometimes , also , used in the way of emphatic formality"
sister,"one of the same kind , or of the same condition"
site,situation
sitting,the state or act of one who sits
situation,position
sixteen,the sum of ten and six
sixteenth,the next in order after the fifteenth
six,the sum of three and three
sixth,one of six equal parts which form a whole
sixty,the sum of six times ten
size,extent of superficies or volume
skeleton,the bony and cartilaginous framework which supports the soft parts of a vertebrate animal
sketch,a preliminary study for an original work
skill,"the familiar knowledge of any art or science , united with readiness and dexterity in execution or performance , or in the application of the art or science to practical purposes"
skin,that of a small animal as a calf sheep or goat
skipper,"a young , thoughtless person"
skirt,"the lower and loose part of a coat , dress , or other like garment"
skull,"the skeleton of the head of a vertebrate animal , including the brain case , or cranium , and the bones and cartilages of the face and mouth"
sky,the firmament
slate,"a thin , flat piece , for roofing or covering houses , etc"
slaughter,the act of killing cattle or other beasts for market
slave,a drudge
slavery,the holding of slaves
sledge,a sleigh
sleep,"a natural and healthy , but temporary and periodical , suspension of the functions of the organs of sense , as well as of those of the voluntary and rational soul"
sleeve,"a long bushing or thimble , as in the nave of a wheel"
slice,"a broad , thin piece of plaster"
slide,"smooth , even passage or progress"
slight,neglect
slip,an unintentional error or fault
slope,a line or direction including from a horizontal line or direction
slumber,sleep that is not deep or sound
small,smallclothes
smart,a dandy
smell,perfume
smile,the act of smiling
smite,a blow
smith,one who works in metals
smoke,"anything unsubstantial , as idle talk"
smooth,a stroke which smooths
snake,"a serpent , whether harmless or venomous"
snap,"a sudden seizing , or effort to seize , as with the teeth"
snare,anything by which one is entangled and brought into trouble
snatch,a scrap
sneer,an indirect expression or insinuation of contempt
snow,"something which falls in , or as in , flakes"
snuff,"pulverized tobacco , etc"
snug,same as lug n
soap,"a substance which dissolves in water , thus forming a lather , and is used as a cleansing agent"
sob,the act of sobbing
society,a social union
soda,sodium oxide or hydroxide
sofa,"a long seat , usually with a cushioned bottom , back , and ends"
soft,an idiot
softness,the quality or state of being soft
soil,that which soils or pollutes
sojourn,"a temporary residence , as that of a traveler in a foreign land"
solace,relief
sol,a fluid mixture of a colloid and a liquid
soldier,a brave warrior
solemnity,religious or ritual ceremony
sole,the bottom of the foot
solicitation,importunity
solicitude,anxiety
solid,a part of space bounded on all sides
solitary,a hermit
solitude,a lonely life
solution,"the act of solving , or the state of being solved"
son,"a pupil , ward , or any other young male dependent"
song,a lyrical poem adapted to vocal music
sooner,"in the western united states , one who settles on government land before it is legally open to settlement in order to gain the prior claim that the law gives to the first settler when the land is opened to settlement"
sore,a young hawk or falcon in the first year
sorrow,unhappiness
sort,a suit
soul,the moving spirit
sound,empty noise
sounding,the depth so ascertained
soup,"a liquid food of many kinds , usually made by boiling meat and vegetables , or either of them , in water , -- commonly seasoned or flavored"
source,"that from which anything comes forth , regarded as its cause or origin"
sour,whatever produces a painful effect
south,the southern section of a country
sovereign,in a monarchy a king queen or emperor
sovereignty,independence
sow,a channel or runner which receives the rows of molds in the pig bed
space,distance from one thing to another
spade,a castrated man or beast
span,nine inches
spare,"the right of bowling again at a full set of pins , after having knocked all the pins down in less than three bowls"
spark,a feeble germ
sparkle,a little spark
speaker,"usually , one who utters a speech in public"
speaking,public declamation
spear,a weapon with a long shaft and a sharp head or blade
specimen,a sample
speck,a particle
spectacle,a show
spectator,a beholder
speculation,contemplation
speech,he act of speaking
speed,the act or state of moving swiftly
spell,a gratuitous helping forward of another ' s work
spelling,formation of words by letters
sphere,"a body or space contained under a single surface , which in every part is equally distant from a point within called its center"
spider,"an iron pan with a long handle , used as a kitchen utensil in frying food"
spin,velocity of rotation about some specified axis
spirit,"the agent or subject of vital and spiritual functions , whether spiritual or material"
spite,"ill - will or hatred toward another , accompanied with the disposition to irritate , annoy , or thwart"
spit,the secretion formed by the glands of the mouth
splash,"water , or water and dirt , thrown upon anything , or thrown from a puddle or the like"
splendor,pomp
split,a splinter
spoil,pillage
spoke,"a rung , or round , of a ladder"
sponge,one who lives upon others
spoon,a simpleton
sport,mock
spot,fault
spouse,a man or woman engaged or joined in wedlock
spray,"a collective body of small branches , or cut flowers with long stems"
spread,compass
spring,elastic power or force
spur,an incitement
spy,"a person sent secretly into an enemy ' s camp , territory , or fortifications , to inspect his works , ascertain his strength , movements , or designs , and to communicate such intelligence to the proper officer"
squadron,"a detachment of vessels employed on any particular service or station , under the command of the senior officer"
square,"the corner , or angle , of a figure"
squeeze,pressure
squire,"a title of dignity next in degree below knight , and above gentleman"
squirrel,one of the small rollers of a carding machine which work with the large cylinder
stability,firmness of resolution or purpose
stable,"a house , shed , or building , for beasts to lodge and feed in"
staff,a long piece of wood
stage,a scaffold
stain,a spot
stair,one step of a series for ascending or descending to a different level
stairway,a flight of stairs or steps
stake,"a stick inserted upright in a loop , eye , or mortise , at the side or end of a cart , a flat car , or the like , to prevent goods from falling off"
stale,the stock or handle of anything
stalk,"the petiole , pedicel , or peduncle , of a plant"
stall,a station
stamp,the mark made by stamping
stand,"a halt or stop for the purpose of defense , resistance , or opposition"
standard,"that which is established as a rule or model by authority , custom , or general consent"
standing,station
standpoint,a basis or fundamental principle
stanza,a room or chamber
stare,a fixed look with eyes wide open
star,the polestar
start,the act of starting
statement,that which is stated
statesman,"one occupied with the affairs of government , and influential in shaping its policy"
state,wealthy or prosperous circumstances
station,a regular stopping place in a stage road or route
statistics,"the science dealing with collection , tabulation , and analysis of facts respecting the condition of the people in a state"
statue,an image
stature,the natural height of an animal body
status,state
statute,the written will of the legislature expressed with all the requisite forms of legislation
stay,"a large , strong rope , employed to support a mast , by being extended from the head of one mast down to some other , or to some part of the vessel"
stead,"place or room which another had , has , or might have"
stealing,larceny
steamer,a steam fire engine
steam,the mist formed by condensed vapor
steel,"a weapon , as a sword , dagger , etc"
steep,a precipice
steer,a castrated taurine male from two to four years old
stem,"a peduncle , pedicel , or petiole"
step,"a rest , or one of a set of rests , for the foot in ascending or descending , as a stair , or a round of a ladder"
sterling,"same as starling , 3"
stern,"the part opposite to the stem , or prow"
steward,"a person employed in a hotel , or a club , or on board a ship , to provide for the table , superintend the culinary affairs , etc"
stick,a staff
still,a distillery
stillness,silence
stimulus,"that which excites or produces a temporary increase of vital action , either in the whole organism or in any of its parts"
sting,"any sharp organ of offense and defense , especially when connected with a poison gland , and adapted to inflict a wound by piercing"
stir,tumult
stock,a firm support
stomach,appetite
stone,a mirror
stool,an evacuation
stoop,a flagon
stop,interruption
stopping,a partition or door to direct or prevent a current of air
store,"articles , especially of food , accumulated for some specific object"
storm,"a civil , political , or domestic commotion"
story,a short narrative
stout,a popular variety sold in the u
stove,"a forcing house , or hothouse"
straight,a sequence
strain,"hereditary character , quality , or disposition"
strait,difficulty
strand,"the shore , especially the beach of a sea , ocean , or large lake"
stranger,"one whose home is at a distance from the place where he is , but in the same country"
straw,the least possible thing
stray,"any domestic animal that has an inclosure , or its proper place and company , and wanders at large , or is lost"
streak,a line or long mark of a different color from the ground
stream,"specifically , any course of running water"
street,a thoroughfare in a city or village bordered by dwellings or business houses
strength,power of resisting attacks
stress,except in mechanics
stretch,reach
stride,a long step
strife,"contest of emulation , either by intellectual or physical efforts"
strike,fullness of measure
string,a concatenation
strip,the issuing of a projectile from a rifled gun without acquiring the spiral motion
stroke,soreness
stroll,an idle and leisurely walk
structure,the arrangement of the different tissues or parts of animal and vegetable organisms
student,a learner
studio,the working room of an artist
study,any particular branch of learning that is studied
stuff,"specifically , any one of various fabrics of wool or worsted"
stump,the stub
stupidity,insensibility
sturdy,"a disease in sheep and cattle , marked by great nervousness , or by dullness and stupor"
style,a sharp - pointed tool used in engraving
sub,a shortened form of submarine sandwich
subject,"that which is subjected , or submitted to , any physical operation or process"
sublime,a style that expresses lofty conceptions
submarine,a ship that can travel under the surface of the water
submission,the state of being submissive
subordinate,one who stands in order or rank below another
subscription,a paper to which a signature is attached
subsistence,real being
substance,solidity
substitute,"one who , or that which , is substituted or put in the place of another"
succeeding,consequence
success,consequence issue or result of an endeavor or undertaking whether good or bad
succession,"the act of succeeding , or following after"
successor,"one who takes the place which another has left , and sustains the like part or character"
sudden,an unexpected occurrence
suffering,pain endured
suffrage,attestation
sugar,compliment or flattery used to disguise or render acceptable something obnoxious
suggestion,that which is suggested
suicide,one guilty of self - murder
suite,a connected series or succession of objects
suit,prosecution of right before any tribunal
sultan,"a ruler , or sovereign , of a mohammedan state"
summary,a general or comprehensive statement
summer,one who sums
summit,the acme
summons,a demand to surrender
sum,the amount
sunlight,the light of the sun
sunrise,"more generally , the time of such appearance , whether in fair or cloudy weather"
sunset,the west
sunshine,"the direct rays of the sun , the place where they fall , or the warmth and light which they give"
sun,"the central body round which the earth and planets revolve , by which they are held in their orbits , and from which they receive light and heat"
sup,a little taken with the lips
superintendent,"one who has the oversight and charge of some place , institution , or organization , affairs , etc"
superior,one who surpasses in what is desirable
superstition,"an excessive reverence for , or fear of , that which is unknown or mysterious"
supervision,the act of overseeing
supper,the evening meal
supplement,"the number of degrees which , if added to a specified arc , make it 180 °"
supply,"the food , and the like , which meets the daily necessities of an army or other large body of men"
support,"that which upholds , sustains , or keeps from falling , as a prop , a pillar , or a foundation of any kind"
supposition,that which is supposed
suppression,omission
supremacy,"the state of being supreme , or in the highest station of power"
surface,superficies
surf,"the swell of the sea which breaks upon the shore , especially upon a sloping beach"
surgeon,one whose profession or occupation is to cure diseases or injuries of the body by manual operation
surplus,"that which remains when use or need is satisfied , or when a limit is reached"
surprise,"the state of being surprised , or taken unawares , by some act or event which could not reasonably be foreseen"
surrender,the giving up of a principal into lawful custody by his bail
surround,"a method of hunting some animals , as the buffalo , by surrounding a herd , and driving them over a precipice , into a ravine , etc"
surrounding,an encompassing
survey,a particular view
surveying,the act or occupation of making surveys
suspect,"now , only to persons suspected of crime"
suspense,"specifically , a state of uncertainty and expectation , with anxiety or apprehension"
suspicion,hint
swallow,relish
swamp,marshy ground away from the seashore
swarm,"a large number or mass of small animals or insects , especially when in motion"
sway,turn or cast of balance
sweat,the fluid which is excreted from the skin of an animal
sweep,the act of sweeping
sweet,a perfume
sweetheart,a lover of mistress
sweetness,the quality or state of being sweet ( in any sense of the adjective )
swell,increase in height
swelling,an unnatural prominence or protuberance
swift,the ghost moth
swimming,dizziness
swim,the act of swimming
swing,oscillation
sword,war
syllable,anything concise or short
symbol,"a creed , or a summary of the articles of religion"
sympathy,"the quality of being affected by the affection of another , with feelings correspondent in kind , if not in degree"
system,formal arrangement
tabernacle,a tent
table,a memorandum book
tackle,gear
tactics,"the science and art of disposing military and naval forces in order for battle , and performing military and naval evolutions"
tact,the sense of touch
tailor,one who cuts out and makes ladies ' outer garments
tail,"the terminal , and usually flexible , posterior appendage of an animal"
take,the quantity or copy given to a compositor at one time
taking,agitation
tale,a number told or counted off
talent,"among the hebrews , a weight and denomination of money"
talk,subject of discourse
tank,a large basin or cistern
tap,a certain kind or quality of liquor
tapestry,"a fabric , usually of worsted , worked upon a warp of linen or other thread by hand , the designs being usually more or less pictorial and the stuff employed for wall hangings and the like"
target,"a kind of small shield or buckler , used as a defensive weapon in war"
tariff,"any schedule or system of rates , changes , etc"
task,employment
taste,a particular sensation excited by the application of a substance to the tongue
tavern,an inn
tax,a charge or burden laid upon persons or property for the support of a government
taxation,"the act of taxing , or assessing a bill of cost"
tea,"any infusion or decoction , especially when made of the dried leaves of plants"
teacher,a preacher
teaching,the act or business of instructing
team,a number of animals moving together
tear,a partially vitrified bit of clay in glass
telegram,a telegraphic dispatch
telephone,"an instrument for reproducing sounds , especially articulate speech , at a distance"
telescope,"an optical instrument used in viewing distant objects , as the heavenly bodies"
tell,a hill or mound
temperament,the act of tempering or modifying
temperance,habitual moderation in regard to the indulgence of the natural appetites and passions
temperature,"the degree of heat of the body of a living being , especially of the human body"
temper,"in old writers , the mixture or relative proportion of the four humors , blood , choler , phlegm , and melancholy"
tempest,a furious storm
temple,"the space , on either side of the head , back of the eye and forehead , above the zygomatic arch and in front of the ear"
temporal,a temporality
temptation,an inducement
tenant,a dweller
tendency,causal or efficient influence to bring about an effect or result
tenderness,the quality or state of being tender ( in any sense of the adjective )
tender,one who tends
tenor,manner of continuity
tense,the modification which verbs undergo for the indication of time
tension,the state of being bent strained
tent,"a pavilion or portable lodge consisting of skins , canvas , or some strong cloth , stretched and sustained by poles , -- used for sheltering persons from the weather , especially soldiers in camp"
ten,the sum of five and five
tenth,the next in order after the ninth
termination,end in time or existence
term,limit
terrace,"a balcony , especially a large and uncovered one"
territory,a district
terror,violent dread
testimony,declaration
test,the outer integument of a seed
text,a discourse or composition on which a note or commentary is written
texture,a woven fabric
thank,"obligation , claim , or desert , or gratitude"
thanksgiving,a public acknowledgment or celebration of divine goodness
theater,"anciently uncovered , except the stage , but in modern times roofed"
theft,the act of stealing
theme,discourse on a certain subject
theology,"as more commonly understood ) “ the knowledge derivable from the scriptures , the systematic exhibition of revealed truth , the science of christian faith and life"
theory,speculation
thermometer,"an instrument for measuring temperature , founded on the principle that changes of temperature in bodies are accompanied by proportional changes in their volumes or dimensions"
thicket,"a wood or a collection of trees , shrubs , etc"
thickness,the quality or state of being thick ( in any of the senses of the adjective )
thief,a waster in the snuff of a candle
thigh,the proximal segment of the hind limb between the knee and the trunk
thing,any separable or distinguishable object of thought
thinking,cogitation
third,the sixtieth part of a second of time
thirst,a want and eager desire after anything
thirteen,the sum of ten and three
thirteenth,one of thirteen equal parts into which anything is divided
thirty,"the sum of three tens , or twenty and ten"
thorn,trouble
thought,meditation
thousand,indefinitely a great number
thread,one fiber of a cord composed of multiple fibers
threat,the expression of an intention to inflict evil or injury on another
three,the number greater by a unit than two
threshold,entrance
thrill,a breathing place or hole
throat,"a contracted portion of a vessel , or of a passage way"
throne,sovereign power and dignity
throng,a great multitude
throw,a cast
thrust,"a violent push or driving , as with a pointed weapon moved in the direction of its length , or with the hand or foot , or with any instrument"
thunder,the sound which follows a flash of lightning
ticket,"a certificate or token of right of admission to a place of assembly , or of passage in a public conveyance"
tide,course
tie,a fastening
tiger,"a ferocious , bloodthirsty person"
timber,"the body , stem , or trunk of a tree"
timidity,the quality or state of being timid
tinge,tincture
tint,a slight coloring
tip,an end piece or part
tire,"a ring , hoop or band , as of rubber or metal , on the circumference of the wheel of a vehicle , to impart strength and receive the wear"
tissue,"a fine transparent silk stuff , used for veils , etc"
title,"the panel for the name , between the bands of the back of a book"
toast,a kind of food prepared by putting slices of toasted bread into milk gravy etc
tobacco,"the leaves of the plant prepared for smoking , chewing , etc"
toe,"one of the terminal members , or digits , of the foot of a man or an animal"
toilet,attire
token,a memorial of friendship
toleration,the allowance of that which is not wholly approved
tom,"a familiar contraction of thomas , a proper name of a man"
tomb,a sepulcher
tomorrow,the morrow
ton,a measure of weight or quantity
tone,a kind of mournful or artificial strain of voice
tongue,fluency of speech or expression
tonight,the night after the present day
tool,an implement
tooth,palate
topic,"the subject of any distinct portion of a discourse , or argument , or literary composition"
top,the highest rank
torch,"a light or luminary formed of some combustible substance , as of resinous wood"
tore,same as torus
torment,"that which gives pain , vexation , or misery"
torrent,"a violent stream , as of water , lava , or the like"
torture,agony
toss,"a throwing upward , or with a jerk"
total,the whole
touching,the sense or act of feeling
touch,the sense by which pressure or traction exerted on the skin is recognized
tour,"anything done successively , or by regular order"
tout,"in the game of solo , a proposal to win all eight tricks"
tower,"a mass of building standing alone and insulated , usually higher than its diameter , but when of great size not always of that proportion"
town,loosely any large closely populated place whether incorporated or not in distinction from the country or from rural communities
township,the district or territory of a town
toy,"a thing for amusement , but of no real value"
trace,a mark left by anything passing
tracing,a course
track,footprint
tract,extent
trader,a trafficker
trade,"specifically : the act or business of exchanging commodities by barter , or by buying and selling for money"
tradition,delivery
traffic,interchange of goods and commodities
tragedy,"a dramatic poem , composed in elevated style , representing a signal action performed by some person or persons , and having a fatal issue"
trail,a track left by man or beast
trailer,"one who , or that which , trails"
train,a snare
training,education
trait,a distinguishing or marked feature
traitor,a betrayer
tramp,a foot journey or excursion
trance,"a state in which the soul seems to have passed out of the body into another state of being , or to be rapt into visions"
transaction,an adjustment of a dispute between parties by mutual agreement
transcription,a copy
transfer,"a picture , or the like , removed from one body or ground to another , as from wood to canvas , or from one piece of canvas to another"
transformation,metabolism
transient,that which remains but for a brief time
transition,charge
translation,the act of rendering into another language
transportation,removal
transport,transportation
trap,a snare
travel,"an account , by a traveler , of occurrences and observations during a journey"
traveler,a traveling crane
tray,a salver
treachery,perfidy
tread,pressure with the foot
treason,"loosely , the betrayal of any trust or confidence"
treasure,abundance
treasury,a repository of abundance
treat,an entertainment given as an expression of regard
treatise,"a written composition on a particular subject , in which its principles are discussed or explained"
treatment,the act or manner of treating
treaty,"the act of treating for the adjustment of differences , as for forming an agreement"
tree,"a piece of timber , or something commonly made of timber"
tremble,an involuntary shaking or quivering
tremor,a quivering or vibratory motion
trench,"a long , narrow cut in the earth"
trial,"experiment , as in chemistry , metallurgy , etc"
tribe,a number of species or genera having certain structural characteristics in common
tribune,"in france , a kind of pulpit in the hall of the legislative assembly , where a member stands while making an address"
tribute,"a certain proportion of the ore raised , or of its value , given to the miner as his recompense"
trick,a prank
trifle,"a dish composed of sweetmeats , fruits , cake , wine , etc"
trillion,a million millions
trim,dress
trip,a mistake
triumph,a state of joy or exultation for success
troop,a collection of people
trot,a child
trouble,the state of being troubled
truce,temporary cessation
trumpet,a trumpeter
trunk,the main body of anything
trust,confidence
truth,constancy
try,experiment
tub,"a kind of short cask , half barrel , or firkin , usually with but one head , -- used for various purposes"
tube,a pipe
tumult,"violent commotion or agitation , with confusion of sounds"
tune,a note
tunnel,a flue
turf,horse racing
turmoil,molestation by tumult
turn,a winding
turner,a tumbler
turning,a winding
tutor,a treasurer
twelfth,an interval comprising an octave and a fifth
twelve,"the sum of ten and two , or of twice six"
twentieth,the next in order after the nineteenth
twenty,"the sum of twelve and eight , or twice ten"
twilight,"the light perceived before the rising , and after the setting , of the sun , or when the sun is less than 18 ° below the horizon , occasioned by the illumination of the earth ' s atmosphere by the direct rays of the sun and their reflection on the earth"
twin,a sign and constellation of the zodiac
twinkle,"a closing or opening , or a quick motion , of the eye"
twinkling,a sparkling
twist,a flexure
type,impressed sign
tyranny,inclemency
tyrant,an absolute ruler
ugly,"a shade for the face , projecting from the bonnet"
umbrella,"a shade , screen , or guard , carried in the hand for sheltering the person from the rays of the sun , or from rain or snow"
uncertainty,something unknown
uncle,applied to an aunt ' s husband
underground,subterranean space
understanding,the intelligence
undertaking,an enterprise
uneasiness,disquietude
uniform,a dress of a particular style or fashion worn by persons in the same service or order by means of which they have a distinctive appearance
uniformity,sameness
union,something formed by a combination or coalition of parts or members
unit,one
unity,"any definite quantity , or aggregate of quantities or magnitudes taken as one , or for which 1 is made to stand in calculation"
universe,"the whole body of things , or of phenomena"
university,"an institution organized and incorporated for the purpose of imparting instruction , examining students , and otherwise promoting education in the higher branches of literature , science , art , etc"
upper,a vamp
uproar,great tumult
upset,an overturn
usage,custom
use,capability of being used
usefulness,advantage
user,enjoyment of property
utility,"the greatest good , or happiness , of the greatest number , -- the foundation of utilitarianism"
utmost,the most that can be
utterance,vocal expression
vacancy,leisure
vacation,recess
vain,emptiness
vale,"a tract of low ground , or of land between hills"
valet,a servant who attends on a gentleman ' s person
valley,the depression formed by the meeting of two slopes on a flat roof
valor,courage
valuable,"a thing of value , especially a small thing , as an article of jewelry"
value,excellence
valve,"a lid , plug , or cover , applied to an aperture so that by its movement , as by swinging , lifting and falling , sliding , turning , or the like , it will open or close the aperture to permit or prevent passage , as of a fluid"
van,a closed railway car for baggage
vanish,"the brief terminal part of a vowel or vocal element , differing more or less in quality from the main part"
vanity,"anything empty , visionary , unreal , or unsubstantial"
vapor,"any substance in the gaseous , or a ë riform , state , the condition of which is ordinarily that of a liquid or solid"
variable,a quantity which may increase or decrease
variance,the quality or state of being variant
variation,extent to which a thing varies
variety,diversity
vase,a vessel of antique or elegant pattern used for ornament
vast,a waste region
vault,a cellar
vegetable,"a person who has permanently lost consciousness , due to damage to the brain , but remains alive"
vegetation,the sum of vegetable life
vehemence,animated fervor
vehicle,that which is used as the instrument of conveyance or communication
veil,a cover
vein,one of the similar branches of the framework of a leaf
velocity,celerity
velvet,the soft and highly vascular deciduous skin which envelops and nourishes the antlers of deer during their rapid growth
veneration,the highest degree of respect and reverence
vengeance,punishment inflicted in return for an injury or an offense
vent,a hole or passage for air or any fluid to escape
venture,something sent to sea in trade
veranda,"an open , roofed gallery or portico , adjoining a dwelling house , forming an out - of - door sitting room"
verbal,a noun derived from a verb
verb,"a part of speech expressing being , action , or the suffering of action"
verdict,decision
verdure,green
verge,"a rod or staff , carried as an emblem of authority"
verse,that which is composed in metrical form
version,"the act of translating , or rendering , from one language into another language"
vessel,"script , one into whom something is conceived as poured , or in whom something is stored for use"
vest,an outer garment
veteran,"one who has been long exercised in any service or art , particularly in war"
vexation,trouble
vicar,the incumbent of an appropriated benefice
vice,"customary deviation in a single respect , or in general , from a right standard , implying a defect of natural character , or the result of training and habits"
vicinity,adjoining space or country
victim,"a creature immolated , or made an offering of"
victor,one who gets the better of another in any struggle
victory,"the defeat of an enemy in battle , or of an antagonist in any contest"
